sentiment,text,label
positive,within framework partnership nokia siemens network signed initial framework purchase agreement sitronics subsidiary jsc mikron largest manufacturer exporter microelectronic component russia,2
positive,seppala revenue increased eur finland revenue went eur sale abroad rose eur sale increased baltic country well russia ukraine,2
positive,share standard chartered stan rose ftse royal bank scotland rb share rose barclays share barc bcs,2
positive,share nokia corp rose thursday cell phone maker said thirdquarter earnings almost doubled share global handset market increased,2
positive,financial report published friday seb said net profit soared sek bn yearearlier sek bn proposed dividend increase sek per share,2
positive,sale department store division increased sale clothing store subsidiary seppala increased meanwhile sale hobby hall decreased,2
neutral,request finnish medium company alma medium newspaper research manager jari kaivooja finland future research centre turku school economics drawn future scenario finland national economy using model developed university denver,1
neutral,sweden gallerix accumulated sek denominated sale eur denominated sale,1
neutral,company support global customer developing new technology offer fast route product development application volume production,1
neutral,investment place atrium plan expand moscow market,1
neutral,new agreement continuation theagreement signed earlier year lemminkainen group whereby cramo acquired entire construction machine fleet oflemminkainen talo oy ita ja pohjois suomo signed asimilar agreement said tatu hauhio managing director ofcramo finland,1
positive,first contract envisaged construction three ferryboat option two unit confirmed total value mln euro mln,2
neutral,june sold percent stake nordstjernan investment group taken option acquire eqt remaining share,1
positive,kesko corporation stock exchange release kesko corporation aspo plc today signed agreement aspo acquires share capital kaukotelko ltd subsidiary wholly owned kesko,2
positive,sponda plc stock exchange release december eur billion syndicated credit facility sponda sponda signed agreement oneyear syndicated credit facility total eur billion,2
neutral,stock exchange announcement july basware share subscription warrant increase share capital total share subscribed basware warrant program,1
positive,contract cover hdo platform ac cxe optical fttb node designed increase forward return path capacity transmission network,2
neutral,new plant planned electricity generation capacity megawatt mw heat generation capacity,1
positive,omx helsinki index pct helsinki cap portfolio index pct higher,2
neutral,sale growth car considerably influence tire market,1
neutral,maximum new share subscribed exercising b option stock option plan,1
neutral,result share issue number company share increase share share capital total eur,1
neutral,finnish real estate investor sponda plc said wednesday march signed agreement danske bank helsinki branch year eurm credit facility ilmarinen mutual pension insurance company year eurm credit facility,1
neutral,route helsinki finland tallinn estonia cargo volume increased cargo volume finland sweden fell,1
neutral,measure included increasing synergy economy scale within grimaldi group personnel adjustment divestments redelivery excess tonnage,1
positive,rinkuskiai raised sale percent million liter sale kauno alus grew percent liter,2
neutral,telecomworldwire april tj group plc sell stake morning digital design oy finnish company tj group plc said friday april signed agreement selling share morning digital design oy edita oyj,1
positive,telecomworldwire april tj group plc sell stake morning digital design oy finnish company tj group plc said friday april signed agreement selling share morning digital design oy edita oyj,2
neutral,new series share become subject trading helsinki stock exchange main list together old series share july,1
neutral,fuel purchase contract signed three month delivery september november,1
neutral,tiimari operates store six country including core finnish market generated turnover mln eur,1
positive,agreement biohit becomes focus supplier pipettors disposable pipettor tip vwr customer throughout europe,2
positive,combination service enabling u offer complex strengthened service chain limited baltic port connection also getting access world wide grimaldi network mediterranean africa north america say uwe bakosch,2
neutral,blindspots coming vantage point allows investigator see whole story high resolution unbroken video,1
positive,company still expects turnover slightly increase level adding market predictability still poor trustworthy forecast market development contract manufacturing business current year,2
positive,acquisition considerably increase kemira sale market position russian metal industry coating market,2
positive,januaryseptember finnlines net sale rose eur mn eur mn corresponding period,2
positive,adjusted change group structure division net sale increased,2
positive,change optimize operational efficiency growing business said julia prohaska director marketing communication fiskars,2
positive,would invest physical infrastructure would also provide knowhow managing developing science technology park said sunrise valley director andrius bagdonas,2
positive,february finnish broadband data communication system provider teleste oyj hel tltv saw net profit jump eur last quarter eur period,2
positive,finnish aktia group operating profit rose eur mn first quarter eur mn first quarter,2
positive,finnish bank land consolidated net operating profit increased eur mn first quarter eur mn first quarter,2
positive,finnish financial group aktia report operating profit eur mn januaryseptember eur mn corresponding period,2
positive,finnish high technology provider vaahto group report net sale eur mn accounting period september february increase year earlier,2
positive,net sale finnish food industry company lnnen tehtaat continuing operation increased eur mn eur mn,2
positive,individual promotion also generated slightly higherthanexpected revenue,2
positive,biohit already service many current genesis customer customer base expected expand result agreement,2
positive,operating profit turnover threemonth period increased respectively eur eur compared corresponding period,2
positive,circulation revenue increased finland sweden,2
positive,clothing chain seppl net sale increased eur mn,2
positive,construction volume meanwhile grow rate percent annually,2
positive,finnish swedish construction market still experiencing estimated annual growth,2
positive,however biohit estimate total net sale continue grow favourable trend net sale lead profit,2
positive,fiskars cash flow operating activity amounted eurm eurm previous year,2
positive,lithuania operating profit rose eur eur corresponding period,2
positive,fourth quarter net sale increased eur mn eur mn fourth quarter,2
positive,international sale rose eur mn,2
neutral,kalmar espana generated net sale mln euro mln,1
positive,net sale grew period xac million u million xac million,2
positive,net sale increased eurm april june eurm year earlier,2
positive,net sale rose yearonyear eur number charger delivered went million piece,2
positive,net sale totaled eur mn eur mn corresponding period,2
positive,nokia also noted average selling price handset declined period though mobile phone profit margin rose percent percent yearago quarter,2
positive,operating profit increased eur mn eur mn,2
positive,operating profit margin increased,2
positive,operating profit rose eur mn eur mn corresponding period,2
positive,operating profit rose eur mn eur mn fourth quarter,2
positive,operating profit eur mn eur mn,2
positive,ramirent net sale second quarterended june euro million u million percent increase compared euro million thesecond quarter last year,2
positive,revenue grew percent xac million million xac million,2
positive,ruukki announced signed agreement aker solution norway supply suction anchor september kalajoki unit finland,2
positive,ruukki delivery volume selling price showed favourable development company comparable net sale grew yearonyear eurm ceo sakari tamminen said,2
positive,sanoma magazine net sale estimated grow,2
positive,bank forecast finland gdp grow,2
positive,circuit overall production rate weekly basis excess average tonne per day volume excess tonne per day reached individual day,2
positive,company consolidated operating profit amounted eur mn eur mn yearonyear,2
positive,department store division reported increase sale per cent,2
positive,fair value company investment property grew eur billion end march eur million year ago,2
positive,last quarter best quarter net sale operating margin rose,2
positive,major brewery increased domestic beer sale per cent last year million litre million litre,2
positive,transaction double tecnomens workforse add fourth net sale,2
positive,operating profit rose eur million,2
positive,purchase cramo become second largest rental service provider latvian market,2
positive,priority strengthen company balance sheet increase cash flow ceo hannu krook said,2
positive,purchase operation part yit strategy expand offering building system service geographically,2
positive,october finnish fishing tackle company rapala vmc corp hel rapv said today net profit rose eur first nine month eur period year earlier,2
neutral,structure bim building information modeling software tekla modelbased software provider adopted construction management delivery university project abu dhabi,1
positive,according finnish metso mineral value company order gone eur bn month,2
positive,finnish aldata solution signed contract supply gold system two french retail chain,2
positive,finnish bank land report operating profit rose eur mn second quarter eur mn corresponding period,2
positive,finnish financial group aktia operating profit increased eur mn eur mn,2
positive,finnish forest machinery manufacturer ponsse net sale grew eur mn first quarter eur mn corresponding period,2
positive,finnish kci konecranes raised net sale growth estimate,2
positive,finnish okmetic manufacture process silicon wafer semiconductor sensor industry norwegian solar wafer company norsun signed contract okmetic supply norsun mono silicon crystal use solar cell manufacturing,2
positive,finnish pharmaceutical company orion net sale rose eur mn first quarter eur mn first quarter,2
positive,finnish ponsse signed agreement babcock africa distribution support ponsse forest machine harvester head information system south africa,2
positive,south african sappi become largest foreign forest industry company operating finland result acquisition finnish mreal corporation graphic paper business unit,2
positive,according deputy md pekka silvennoinen aim double turnover next three year,2
positive,according hkscan finland plan increase jrvisuomen portti net sale eur mn eur mn,2
positive,advertising circulation revenue grew respectively,2
positive,takeover cramo become second largest rental service provider latvian market,2
positive,significant sale increase russia,2
positive,alma medium expects net sale increase forecast previously,2
positive,also lemminkinen profit accounting period went eur mn eur mn year ago,2
positive,end march group order book eur mn corresponding period,2
positive,time profit company increased h reached l,2
neutral,aviation system maintenance based kansa generated net sale usd million,1
positive,besides increased share meat various sausage offering number new taste grill product shish kebab segment paavel said,2
positive,operating profit net sale month period increased respectively eur eur compared financial year,2
positive,operating profit net sale month period increased respectively eur eur compared financial year,2
positive,operating profit net sale month period increased respectively eur eur compared,2
positive,operating profit net sale month period increased respectively eur eur compared,2
positive,operating profit net sale ninemonth period increased respectively compared corresponding period,2
positive,operating profit net sale sixmonth period increased respectively eur eur compared corresponding period,2
positive,operating profit net sale sixmonth period increased respectively eur eur compared corresponding period,2
positive,operating profit net sale sixmonth period increased respectively eur eur compared corresponding period,2
positive,operating profit net sale sixmonth period increased respectively eur eur compared corresponding period,2
positive,operating profit net sale threemonth period increased respectively eur eur compared corresponding period,2
positive,operating profit net sale threemonth period increased respectively eur eurm compared corresponding quarter,2
positive,operating profit sale threemonth period increased respectively eur eur compared corresponding period,2
positive,operating profit turnover ninemonth period increased respectively eur eur compared corresponding period year ago,2
positive,operating profit turnover sixmonth period increased respectively eur eur compared corresponding period,2
positive,operating profit turnover sixmonth period increased respectively eur eur compared corresponding period year ago,2
positive,cargo volume grew,2
positive,cargo volume increased approximately,2
positive,comparable operating profit totaled eur mn eur mn,2
positive,digia said consolidated net sale januaryjune eur period eur,2
positive,diluted earnings per share eps rose eur eur,2
positive,diluted earnings per share eps rose eur versus eur,2
positive,diluted earnings per share eps rose eur eur,2
positive,diluted earnings per share eps rose eur eur,2
positive,diluted eps rose eur eur,2
positive,ebit margin,2
neutral,editor note grimaldi generated bln euro bln turnover ansa reported may,1
positive,eps quarter eur compared eur third quarter representing group net sale third quarter eur compared eur third quarter,2
positive,eps continuing operation came eur,2
positive,equity ratio compared third quarter net sale frozen food business totaled eur third quarter,2
positive,eur q may finnish textile clothing design company marimekko oyj hel mmov said today net profit rose eur first quarter eur corresponding period year earlier,2
positive,finlandbased elcoteq se privately held provider electronics manufacturing service communication company said thursday signed longterm manufacturing supply deal communication equipment company andrew corp,2
positive,finnish cutlery hand tool maker fiskars oyj abp hel fisa said today net profit rose eur million usd third quarter eur million year earlier,2
positive,finnish department store chain stockmann oyj abp net profit rose mln euro mln first nine month mln euro mln period,2
positive,finnish lifting equipment maker konecranes oyj said july net profit rose mln euro mln first half mln euro mln period,2
positive,finnish messaging solution developer tecnomen corporation omx helsinki temv said thursday december received expansion order convergent charging solution latin america,2
positive,finnish metal industry solution supplier outotec oyj net profit rose mln euro mln first nine month mln euro mln period,2
positive,finnish metal product company componenta oyj net profit rose mln euro mln first quarter mln euro mln period,2
positive,finnish office supply computer accessory dealer belttongroup plc said net profit rose mln euro mln mln euro mln,2
positive,finnish security privacy software solution developer stonesoft oyj said january preliminary sale stonegate product grew pct yearonyear mln euro mln fourth quarter,2
positive,finnish silicon wafer technology company okmetic oyj omx helsinki okmv reported thursday august operating profit eur period januaryjune eur corresponding period,2
positive,finnish software developer done solution oyj said net profit increased mln euro mln mln euro mln,2
positive,first quarter underlying operating profit rose mln eur mln year earlier,2
positive,following acquisition relacom strengthen presence finland serving operator office market mobile fixed network construction installation maintenance service,2
positive,first nine month company net profit rose eurm eurm corresponding period,2
positive,helsinki afx retail wholesale group kesko reported net sale mln eur february increase pct yearonyear,2
positive,however net sale seen grown eur eur,2
positive,however sale returned growth apriljune ceo pekka eloholma said,2
positive,ragutis controlled finnish brewery reported percent rise beer sale million litre held percent market share,2
positive,svyturysutenos alus controlled nordic group baltic beverage holding bbh posted percent growth beer sale januarymay million litre,2
neutral,contempus generated revenue nok approx,1
positive,addition kone signed twoyear maintenance contract escalator,2
positive,december alone member lithuanian brewer association sold total million liter beer increase percent sale million liter december,2
positive,januaryseptember group net interest income increased eur mn eur mn januaryseptember,2
positive,q bank land net interest income increased eur mn eur mn,2
positive,sweden operating profit period review totaled eur mn corresponding period,2
positive,fourth quarter orion net profit went yearonyear eurm,2
positive,second quarter group net profit rose eur million eur million apriljune,2
positive,second quarter group net profit rose eur eur apriljune,2
positive,third quarter net sale increased yearonyear eur million comparable currency rate growth,2
positive,third quarter net sale increased yearonyear eur comparable currency rate growth,2
neutral,incap estimate generate revenue mln euro mln indian operation,1
positive,market share widened percent percent year earlier,2
neutral,total annual revenue come mln zloty mln mln euro,1
positive,kesko agro eesti retailer wholesaler grain agricultural warehousing machinery accessory net sale million euro increase onetenth preceding year,2
positive,kesko car import retailing business vvauto saw sale grow pct,2
positive,kone net sale rose yearonyear first nine month,2
positive,adp news feb finnish management software solution provider ixonos oyj hel xnsv said today net profit rose eur million usd eur million,2
positive,adp news feb finnish solution provider affecto oyj hel afev said today net profit rose eur million usd eur million,2
positive,adp news feb finnish fishing tackle company rapala vmc corp hel rapv said today net profit rose eur million usd eur million,2
positive,adp news nov finnish electronic measurement product solution maker vaisala oyj omx vaias said today net profit rose eur million usd first nine month eur,2
positive,adp news oct finnish lifting equipment maker konecranes oyj omx kcrv said today net profit rose eur million usd first nine month eur million,2
positive,metso expects net sale increase comparable exchange rate,2
neutral,mreal generated turnover eur bn employee,1
positive,neste oil corp signed longterm procurement contract honkajoki oy findest protein oy owned finnish food manufacturer supply animal fat biodiesel production neste bcd porvoo finland refinery,2
positive,net interest income increased eur mn eur mn,2
positive,net interest income eur mn eur mn,2
positive,net interest income eur mn eur mn,2
positive,net sale vegetable oil business rose eur mn eur mn,2
positive,nokia multimedia net sale totaled eur bn corresponding period,2
positive,operating income rose eur mn eur mn,2
positive,operating profit kauppalehti group rose eur mn eur mn marketplace eur mn eur mn third quarter,2
positive,operating profit rose eur mn eur mn,2
positive,operating profit rose mln eur mln,2
positive,operating profit rose eur mn eur mn corresponding period,2
positive,operating profit rose eur mn eur corresponding period,2
positive,operating profit rose eur mn eur mn corresponding period,2
positive,operating profit rose eur mn eur mn corresponding period,2
positive,operating profit rose eur mn eur mn,2
positive,operating profit rose eur mn eur mn corresponding period,2
positive,operating profit rose eur mn eur mn,2
positive,operating profit rose eur mn eur mn,2
positive,operating profit rose eur mn eur mn corresponding period,2
positive,operating profit rose eur eur year earlier,2
positive,operating profit surged eurm eur,2
positive,operating profit totaled eur mn slightly eur mn corresponding period,2
positive,operating profit totaled eur mn eur mn,2
positive,operating profit eur mn eur mn,2
positive,operating profit eur mn eur mn,2
positive,order intake grew yearonyear yearonyear respectively eur million eur billion respective januaryseptember julyseptember period,2
positive,order received grew yearonyear eurm,2
positive,orion pharma operating profit increased,2
positive,passenger volume rose accounting period,2
positive,passengerrelated revenue rose eur mn eur mn,2
positive,press release october ruukki signed contract deliver install steel structure bridge kyronsalmi strait savonlinna finland,2
positive,pretax profit rose eur mn eur mn corresponding period,2
positive,pretax profit rose eur mn eur corresponding period,2
positive,pretax profit rose eur mn eur mn,2
positive,pretax profit totaled eur mn eur mn,2
positive,previously company guided ebit sale growth pct pct respectively year,2
positive,previously company estimated operating profit reach level,2
positive,profit period totaled eur mn eur mn corresponding period,2
positive,profit period eur mn eur mn,2
positive,profit period eur mn eur mn,2
positive,revenue grew percent xac billion u billion,2
positive,revenue july september grew percent euro million year earlier company said thursday,2
positive,revenue time grew percent million euro,2
positive,ruukki signed contract deliver install steel structure bridge kyronsalmi strait savonlinna finland,2
positive,sale latin america increased eur mn total mn mobile device sold area representing increase corresponding period,2
positive,sale clothing developed best,2
positive,sanoma magazine finland net sale grew eur mn eur mn,2
positive,satama net profit third quarter rose euro euro period,2
positive,section regional news demand finnair asian traffic measured passenger kilometer august compare last year,2
positive,svyturysutenos alus controlled nordic group baltic beverage holding bbh posted percent growth beer sale januaryseptember million liter,2
positive,would increase estimated sale million last year,2
positive,agreement expands tekla structure scope use bridge design,2
positive,aim increase sale least one fifth,2
positive,chain posted sale million euro full rise percent yearonyear,2
positive,company expects net sale increase,2
positive,company expects net sale first half reach previous year level,2
positive,company process building new fleet placed order pmax tanker dwt,2
positive,company operating income ebit totalled eur mn eur mn yearonyear,2
positive,eps outlook increased pct pct,2
positive,fair value investment property totaled eur mn eur mn,2
positive,finnish government announced wednesday sold percent stake chemical fertilizer group kemira oyj xac million u million sending company share price percent,2
neutral,firm generated sale mln eur,1
positive,german company also signed code share agreement another oneworld member american airline inc part usbased amr corp nyse amr,2
positive,helsinkibased company also owns salomon atomic suunto brand said net profit rose percent three month dec xac million u million xac million year earlier,2
positive,increase capital stock registered finnish trade register november,2
positive,operating profit grain trading increased eur mn eur mn,2
positive,stock rose second day wednesday bringing twoday rise gbx,2
positive,stock rose third day tuesday bringing threeday rise gbx,2
positive,transaction line aspo strategy expand baltic sea region eastern market,2
positive,transaction would increase earnings per share first quarter eur,2
positive,recovery base metal price increased demand metal china however,2
positive,new representation extends comptel global presence total country serving customer country worldwide,2
positive,tietoenator us nokia intellisync mobile suite wireless email calendar device management capability company extend service customer,2
positive,total operating revenue grew yearonyear eurm,2
positive,vacon cash flow operation grew eur mn eur mn year ago,2
neutral,vacon supply drive ruselprom power range kw mw,1
positive,also strengthen existing partnership cybercom say teleste cto esko myllyla,2
positive,via satlan acquisition teleste plan expand market presence video service partner cable operator broadcaster iptv service provider,2
positive,acquisition company expand offering north central south america said,2
positive,extension new contract eight engine plant produce mw said,2
positive,yit say acquisition part strategy expansion central eastern european market,2
positive,basware product sale grew strongly financial period percent,2
positive,second quarter firstquarter growth net sale since third quarter said magnus rosen ramirent ceo,2
positive,transaction strengthens position design branded good said fiskars president ceo heikki allonen pointing two group relatively overlapping operation,2
positive,february finnish textile clothing company marimekko oyj hel mmov said today preliminary operating profit grew eur eur,2
neutral,finnish componenta published new longterm strategy period aim growing together customer,1
positive,finnish larox signed contract talvivaara project delivery filter talvivaara nickel mine sotkamo finland,2
positive,affecto expects net sale whole increase level reached eur million,2
positive,cash flow operation rose eur mn eur mn,2
positive,commission income rose eur mn eur mn,2
positive,componenta objective agreement increase business existing production line,2
positive,earnings per share januaryjune eur increase yearonyear eur,2
positive,earnings per share eps rose eur eur,2
positive,elisa said mobile subscription grew percent mainly customer adopting socalled third generation mobile technology,2
positive,eps quarter came eur eur year ago ahead forecast eur,2
positive,eps grew eur eur,2
positive,export grew percent million liter,2
positive,finnish investment group panostaja oyj said net profit went mln euro mln fiscal ended october mln euro mln period fiscal,2
positive,finnish metal component supplier componenta oyj said net profit went mln euro mln mln euro mln,2
positive,finnish silicon wafer technology company okmetic oyj omx helsinki okmv reported thursday october operating profit eur januaryseptember eur corresponding period,2
positive,fiskars brand report net sale eur mn eur mn,2
positive,geosentric oyj geosolutions business unit gypsii mobile digital lifestyle application geomobility social networking platform signed agreement nanjing mynet make gypsii mobile social networking platform available customer china mobile,2
positive,helsinki afx outokumpu technology said signed mln eur agreement mongolia erdenet mining corporation engineering first hydrocopper plant built erdenet mine site,2
positive,however proportion paid standing order grew,2
positive,addition demand finland export lining stone product also increased,2
positive,januaryseptember group net sale continuing operation rose eur mn eur mn corresponding period,2
positive,julyseptember yit net sale increased eur mn compared eur mn corresponding period,2
positive,reporting period net sale rose yearonyear eur due business acquisition realized first half effect eur review period,2
positive,reporting period company operating profit grew eur million,2
positive,last year net sale rose eur million eur million,2
positive,last year company raised turnover approximately million litas eur mln million litas,2
positive,adp news nov finnish ac drive manufacturer vacon oyj omx vacv said today set new representative office romania ukraine serve growing market eastern southeastern europe,2
positive,marimekko group fullyear net sale estimated increase,2
positive,net sale surged eur million,2
positive,net sale went yearonyear eur million affected business acquisition realized previous financial period effect eur million review period,2
positive,nevertheless market share rose percent percent year earlier,2
positive,nokia world largest mobile phone manufacturer china postel china largest mobile phone distributor longstanding partnership continues grow stronger time,2
positive,octoberdecember sale mln eur pct increase year year,2
positive,olvi control percent stake ragutis le coq said annual report published earlier year lithuanian brewery sale reached million euro last year rise percent million euro,2
positive,olvi expects sale market share increase first quarter,2
neutral,olvi target strengthen market share soft drink mineral water cider long drink energy drink,1
positive,operating profit increased eur mn eur mn corresponding period,2
positive,operating profit asian plant grew markedly,2
positive,operating profit totaled eur mn eur mn,2
positive,operating profit totalled eur mn eur mn yearonyear,2
positive,production capacity increase tonne per year raw material continue recycled paper board,2
positive,profit period increased eur mn eur mn,2
positive,profit per share eur eur,2
positive,return capital employed rose percentage point,2
positive,revenue july september grew percent euro billion finnish company said thursday,2
positive,revenue grew percent euro million u million euro million,2
positive,ruukki order book end yearonyear quarteronquarter,2
positive,ruukki signed contract norwegian company veidekke entreprenor,2
positive,sale finland rose international growth,2
positive,sale security system packaging increased slightly,2
positive,stora enso thirdquarter pretax profit doubled eur mn,2
positive,strongest growth seen new market russia czech republic slovakia,2
positive,airline ordered nine airbus aircraft delivery becomes lead airline latest variant rollsroyce trent series engine called,2
positive,company intensifying smelter operation increasing annual production capacity tonne copper,2
positive,company market share continued increase,2
positive,company scheduled traffic measured revenue passenger kilometre rpk grew nearly passenger carried scheduled flight february,2
positive,company said investment new market area resulted sale increase sweden poland russia lithuania,2
positive,disposal autotank also strengthen aspo capital structure commented gustav nyberg ceo aspo,2
positive,earnings per share quarter came eur eur quarter year earlier,2
positive,economic occupancy rate sponda property portfolio rose,2
positive,finnish supplier bssoss va telecom operator tecnotree received expansion order worth total u mn convergent charging next generation messaging solution latin america company announced without specifying operator placed order,2
positive,group month operating profit grew percent million euro,2
positive,growth activeness talentum customer started end continued reporting period company stated,2
positive,growth net sale first half compared first half,2
positive,pretax profit group life insurance business increased eur million eur million,2
positive,pretax profit group life insurance business increased eurm eurm,2
positive,total delivery volume paper business tonne tonne,2
positive,value firm forestry holding increased sek bn,2
positive,new deal strengthened partnership telemig celular tecnomen started since beginning telemig prepaid operation,2
positive,turnover rose eurm eurm,2
positive,xerox stora enso teamed tailor igen shortrun ondemand packaging market,2
positive,yit construction town riihimki signed lease contract whereby town occupy travel centre office facility,2
positive,upgrade intended raise network capacity mhz mhz several city enabling bidirectional service digital television well broadband data,2
neutral,finnish company stockmann signed contract company technopolis,1
neutral,according notice skandinaviska enskilda banken ab publ helsinki branch august divested total alma medium share ilkkayhtyma oyj kaleva kustannus oy condition agreement made company july fulfilled,1
neutral,previously announced geosentric oyj entered financing agreement lead investor june enabling company receive financing aggregate amount,1
neutral,time market automated liquid handling device already larger pipette according biohit,1
neutral,efore ceo reijo maihaniemi said company developed already delivered power supply unit respective system based technology chinese sector company zte corp,1
neutral,finnish talvivaara mining co hel tlvv said thursday picked bofa merrill lynch jpmorgan nyse jpm joint bookrunners planned issue convertible note worth eurm usdm,1
positive,lead production turn increase tonne would twofold increase current capacity level zahariev said,2
neutral,lemminkainen oyj said signed credit agreement nordea bank sto nda pohjola bank hel pohs sampo bank hel samas svenska handelsbanken sto shb,1
neutral,pohjola could increase stake,1
neutral,scandic feed also diversify tosno product portfolio,1
positive,separately yit corporation austrian firm e ag last week signed agreement sale e building system service business germany austria poland czech republic hungary romania eur mln,2
neutral,agreement jm one series contract teliasonera signed recent month residential construction real estate management company sweden,1
positive,company intends raise production capacity,2
neutral,estimated value contract eur vaisala headquartered helsinki finland develops manufacture electronic measurement system meteorology environmental science traffic industry,1
neutral,mall part baltic pearl development project city st petersburg baltic pearl cjsc subsidiary shanghai foreign joint investment company developing home people,1
neutral,new facility known technopolis pulkovo introduce russian market entirely new concept creating operating growing commerciallyfunded science technology park support growth knowledgeintensive company,1
positive,thereby company expand offering north central south america,2
positive,member partner use mostly apparent increased efficiency result service observes perttu puro tradeka,2
neutral,vacon control company via investment fund power fund eur usd,1
neutral,order included wartsila order book second quarter company added,1
neutral,management decided end increase cathode copper capacity,1
neutral,complete name shareholder otto henrik bernhard nyberg information amount share transferred corresponds total number share aspo plc,1
neutral,data processing unit collect data calculates rvr value provides data user via various interface,1
negative,tinyurl link take user scamming site promising user earn thousand dollar becoming google nasdaq goog cash advertiser,0
neutral,alexandria va march pertti salmi hanna vuolteenaho oulu finland sami viitasaari ii finland developed ornamental design handset u patent trademark office announced,1
neutral,alexandria va oct markka oksanen harald kaaja helsinki finland juha salokannel kangasala finland arto palin viiala finland developed system providing communication security,1
neutral,earlier reported nokian tyre building plant town vsevolozhsk russia leningrad region annual production capacity million tire,1
neutral,biohit inc expanded mline family pipettors addition new ml volume range,1
neutral,capman finnish alternative asset manager made acquisition helsinkifocused vehicle real estate fund fund bought sevenstory office built underwent refurbishment end,1
negative,compared ftse index rose point day relative price change,0
neutral,compared ftse index rose point day relative price change,1
negative,compared ftse index rose point day relative price change,0
neutral,delivery start later volume increase year,1
positive,finland nokian tyre kazakhstan ordabasy corporation signed agreement build plant astana produce car tire ordabasy chairman dinmukhamet idrisov said press conference,2
